"id","text","qtype","test_id"
581,What does SQL stand for?,single,27
582,Which SQL statement is used to retrieve data from a database?,single,27
583,What is a primary key?,single,27
584,Which command belongs to DDL?,single,27
585,What is the difference between WHERE and HAVING?,single,27
586,What is a FOREIGN KEY?,single,27
587,Which JOIN returns all rows when matched in either table?,single,27
588,What is an INDEX in SQL?,single,27
589,What is a VIEW in SQL?,single,27
590,What is SQL injection?,single,27
591,"What is the difference between ROW_NUMBER(), RANK(), and DENSE_RANK()?",single,27
592,Which are SQL aggregate functions?,multi,27
593,Common SQL dialects?,single,27
594,What is a subquery?,single,27
595,What is a stored procedure?,single,27
596,Purpose of CHECK constraint?,single,27
597,Which modifies data?,single,27
598,Which clause groups rows?,single,27
599,Types of SQL subsets?,multi,27
600,Which changes table structure?,single,27
601,"What is the output of the following code?

listOne = [20, 40, 60, 80]
listTwo = [20, 40, 60, 80]

print(listOne == listTwo)
print(listOne is listTwo)",single,28
602,"Are the statements below true or false?
- Strings are immutable in Python.
- Every time we modify a string, Python creates a new one.",single,28
603,"What is the output of the following code?

p, q, r = 10, 20, 30
print(p, q, r)",single,28
604,What is the purpose of the pass statement in Python?,single,28
605,"What is the output of the following code?

x = 10
y = 3
print(x % y)",single,28
606,What is the output of print(type([]))?,single,28
607,Which of the following data types is mutable in Python?,single,28
608,"What is the output of the following code?

valueOne = 5 ** 2
valueTwo = 5 ** 3
print(valueOne)
print(valueTwo)",single,28
609,"What is the output of the following code?

str = 'pynative'
print(str[1:3])",single,28
610,"What is the output of the following code?

print('Python' + 'Quiz')",single,28
611,How do you get the current working directory in Python?,single,28
612,Can we use the 'else' block for a for loop?,single,28
613,What is the output of print(bool(0))?,single,28
614,What is the purpose of the super() function in Python classes?,single,28
615,"What is the output of the following code?

sampleList = ['Jon', 'Kelly', 'Jessa']
sampleList.append(2, 'Scott')
print(sampleList)",single,28
616,"What is the output of the following code?

sampleSet = {'Jodi', 'Eric', 'Garry'}
sampleSet.add(1, 'Vicki')
print(sampleSet)",single,28
617,Which of the following is NOT a valid variable name in Python?,single,28
618,Which of the following data types is mutable in Python?,single,28
619,"What is the output of the following code?

a = [1, 2, 3]
b = a
b.append(4)
print(a)",single,28
620,How do you add an element to the end of a list in Python?,single,28
621,"What is the output of the following code?

var = 'James Bond'
print(var[2::-1])",single,28
622,What is a tuple in Python?,single,28
623,"What is the output of the following code?

def calculate(num1, num2=4):
    res = num1 * num2
    print(res)

calculate(5, 6)",single,28
624,What is the output of print(10 // 3)?,single,28
625,"What is the output of the following code?

result = True and False
print(result)",single,28
626,What are HTML tags?,single,29
627,What’s the difference between HTML and HTML5?,single,29
628,Which of the following is a correct basic HTML document structure?,single,29
629,What’s the difference between a tag and an element?,single,29
630,Which tag is used for the largest heading?,single,29
631,Which HTML tag is used to create a paragraph?,single,29
632,Which tag is used to insert an image?,single,29
633,Which attribute is required for <img>?,single,29
634,Which element contains metadata such as title and character encoding?,single,29
635,What does <!DOCTYPE html> do?,single,29
636,Which HTML tag is used for clickable links?,single,29
637,Which tag is used for unordered lists?,single,29
638,Which HTML element is semantic?,single,29
639,Which input type was introduced in HTML5?,single,29
640,What is the correct tag for inserting a line break?,single,29
641,What does the <title> tag control?,single,29
642,Which HTML element is used to group block-level content?,single,29
643,Which HTML tag is used to display code snippets?,single,29
644,Which API was introduced in HTML5?,single,29
645,Which tag is used to embed audio in HTML5?,single,29
